Category,Language,Version,FileName,DirectLink
"OFFICE","Danish","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_Danish_MLF_X19-36369.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_Danish_MLF_X19-36369.ISO?"
"OFFICE","Dutch","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Dutch_MLF_X19-36407.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Dutch_MLF_X19-36407.ISO?"
"OFFICE","Dutch","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_Dutch_MLF_X19-36379.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_Dutch_MLF_X19-36379.ISO?"
"OFFICE","English","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_English_MLF_X19-36393.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_English_MLF_X19-36393.ISO?"
"OFFICE","English","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_English_MLF_X19-36365.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_English_MLF_X19-36365.ISO?"
"OFFICE","Finnish","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Finnish_MLF_X19-36412.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_Finnish_MLF_X19-36412.ISO?"
"OFFICE","Finnish","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_Finnish_MLF_X19-36384.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_Finnish_MLF_X19-36384.ISO?"
"OFFICE","French","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_French_MLF_X19-36399.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_French_MLF_X19-36399.ISO?"
"OFFICE","French","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_French_MLF_X19-36371.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_French_MLF_X19-36371.ISO?"
"OFFICE","German","x64","SW_DVD5_Visio_Pro_2013w_SP1_64Bit_German_MLF_X19-36396.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_64Bit_German_MLF_X19-36396.ISO?"
"OFFICE","German","x32","SW_DVD5_Visio_Pro_2013w_SP1_W32_German_MLF_X19-36368.ISO","https://archive.isdn.network/office/SW_DVD5_Visio_Pro_2013w_SP1_W32_German_MLF_X19-36368.ISO?"
